iter	RMSE
265	937.4843018
266	936.3542699
267	935.0536554
268	934.001153
269	932.9675062
270	931.9165735
271	930.8047992
272	930.0990239
273	929.2860224
274	928.0594296
275	927.0592187
276	926.0398545
277	924.8931844
278	923.8386195
279	922.9377944
280	921.957554
281	920.7292071
282	919.3814229
283	918.401742
284	917.4286373
285	916.4088556
286	915.2485316
287	914.3197628
288	913.576305
289	912.8569547
290	912.2122224
291	911.2013942
292	910.4598904
293	909.5167639
294	908.6577025
295	907.8752993
296	906.8863683
297	906.0537011
298	905.2738177
299	904.2451492
300	903.1820555
301	902.3834849
302	901.4404198
303	900.4356684
304	899.4262226
305	898.7433037
306	897.6664616
307	896.920307
308	896.2211671
309	895.5534464
310	894.6587523
311	893.6536907
312	892.912939
313	892.2070265
314	891.3088131
315	890.4436454
316	889.6871482
317	888.8287067
318	888.3186555
319	887.5589645
320	886.7557604
321	886.2386083
322	885.1320487
323	883.8476365
324	883.1174134
325	882.4411575
326	881.8217241
327	881.2984196
328	880.8118356
329	880.3210475
330	879.5888503
331	878.8299153
332	878.1243975
333	877.4085303
334	876.836166
335	876.3859689
336	875.6698083
337	875.0607679
338	874.4367203
339	873.539045
340	872.8416509
341	872.3021264
342	871.6804452
343	871.1425884
344	870.4880987
345	869.8880854
346	869.3704587
347	868.8174135
348	868.1375276
349	867.5720906
350	866.930119
351	866.2301849
352	865.5486183
353	864.8952677
354	864.1364783
355	863.690165
356	863.5215698
357	862.8441766
358	862.192823
359	861.6780201
360	861.1482832
361	860.6842917
362	860.0186971
363	859.432115
364	858.8563465
365	858.3466398
366	858.0091707
367	857.3422567
368	856.8859454
369	856.5002303
370	855.9845395
371	855.5614484
372	855.0262806
373	854.4965953
374	854.065036
375	853.7654913
376	853.1743058
377	852.7067027
378	852.3230983
379	851.7873409
380	850.8618966
381	850.3672452
382	849.845283
383	849.2897608
384	848.9288874
385	848.5064188
386	848.1745704
387	847.467072
388	847.1084489
389	846.7427974
390	846.3619643
391	845.9977486
392	845.6515726
393	845.4174465
394	844.7924306
395	844.2205895
396	843.8563304
397	843.5049047
398	843.0147061
399	842.5902684
400	842.1229903
401	841.2498188
402	840.7643331
403	840.6859181
404	840.3997028
405	840.0309936
406	839.7028041
407	839.3588145
408	838.9067818
409	838.7725127
410	838.353745
411	837.4828343
412	837.0542766
413	836.7199206
414	836.2539452
415	836.0141448
416	835.55447
417	835.0151598
418	834.5288457
419	834.1541686
420	833.6988729
421	833.3573043
422	832.9818124
423	832.7426914
424	832.5017468
425	832.167124
426	831.598727
427	831.1067775
428	830.813415
429	830.4005971
430	829.9164386
431	829.4499314
432	829.1093089
433	828.7601657
434	828.2886579
435	827.989075
436	827.5493738
437	827.2234901
438	826.9214015
439	826.4720101
440	826.0082449
441	825.6882172
442	825.3102438
443	825.1060695
444	824.8329183
445	824.6521923
446	824.4837399
447	824.3398721
448	823.710795
449	823.1614708
450	822.8401415
451	822.4935937
452	822.2737894
453	821.9223423
454	821.5356397
455	821.1835998
456	820.9363917
457	820.6394701
458	820.3286227
459	820.002875
460	819.758248
461	819.3752949
462	819.0027558
463	818.5464368
464	818.3837148
465	818.127217
466	817.7911116
467	817.5931557
468	817.252913
469	816.8692664
470	816.4615391
471	816.1367698
472	815.6820326
473	815.2541463
474	814.9660657
475	814.6879642
476	814.4096473
477	814.0834302
478	813.7047217
479	813.3516075
480	813.0611661
481	812.5158565
482	812.2735315
483	811.7861555
484	811.5238313
485	811.1671369
486	810.7071217
487	810.4827436
488	810.2625936
489	809.9394825
490	809.6904632
491	809.3558456
492	809.0833754
493	808.838854
494	808.5911255
495	808.3098616
496	808.1259632
497	807.9142866
498	807.4623054
499	807.0549103
